recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
     900;XMMLSS_MOS02-16 ;035.2957;-04.2335; ;21.14; ; 0.67; ; 0.21; ; 0.17; ; 0.49;V;pt ;19.77;QSO;      ;X;QSO
     901;GROTH_MOS02-16  ;214.2582;+54.2278; ;20.51; ; 0.67; ; 0.22;<; 0.00; ; 0.44;V;ext;19.05;   ; 1.100; ;AGN
     902;CDFS_MOS03-07   ;053.8833;-27.3069; ;20.19; ; 0.67; ; 0.10;<; 0.00; ; 0.52;V;ext;18.97;   ;      ; ;AGN
     903;ELAISN1_MOS14-15;244.5173;+54.0419; ;21.13; ; 0.67; ; 0.14; ; 0.13; ; 0.58;V;ext;20.54;   ;      ; ;AGN
     904;GROTH_MOS04-21  ;212.5752;+53.4940; ;21.29; ; 0.67; ; 0.18; ; 0.17; ; 0.28;V;ext;20.65;   ;      ; ;AGN
     905;GROTH_MOS04-25  ;212.8031;+53.7520; ;20.22; ; 0.67; ; 0.22; ; 0.01; ; 0.40;V;ext;19.74;   ;      ; ;AGN
     906;CDFS_MOS06-08   ;053.9102;-28.1203;>;23.09;>; 0.67; ; 0.59; ;     ; ; 0.28; ;ext;21.18;   ;      ; ;?
     907;CDFS_MOS00-16   ;052.9045;-27.4694; ;22.04; ; 0.67; ; 0.04; ; 0.04; ; 0.15;V;ext;20.73;   ;      ; ;AGN
     908;CDFS_MOS06-14   ;054.2138;-28.6431;>;23.09;>; 0.67; ; 0.58; ; 0.52; ; 0.29; ;ext;25.10;   ;      ; ;?
     909;GROTH_MOS03-02  ;213.5308;+53.0777; ;18.99; ; 0.66; ; 0.21; ; 0.09; ; 0.43; ;pt ;18.10;QSO; 1.070; ;QSO
     910;GROTH_MOS02-05  ;213.5775;+54.4225; ;19.83; ; 0.66; ; 0.18;<; 0.00; ; 0.39; ;ext;19.21;   ; 0.785; ;AGN
