GCK J19151486+3946148 288.81192 39.77077 19.969 0.039 -999.990 -999.990  27.55  4644952 Kepler-319   13.828 14.380 13.758 13.591 13.540 12.631 12.314 12.208
GCK J19242684+3956567 291.11184 39.94908 19.498 0.025 -999.990 -999.990  42.78  4833421 Kepler-122   14.247 14.667 14.202 14.067 14.032 13.173 12.887 12.826
GCK J19525164+3957188 298.21517 39.95522 18.229 0.026 -999.990 -999.990  41.19  4862625 Kepler- 64   13.718 14.055 13.665 13.574 13.536 12.714 12.461 12.394
GCK J19155629+4003524 288.98455 40.06456 17.788 0.012 -999.990 -999.990  93.29  4914423 Kepler-103   12.287 12.649 12.214 12.132 12.091 11.192 10.941 10.872
GCK J19134816+4014432 288.45068 40.24534 16.841 0.007 -999.990 -999.990 147.61  5088536 Kepler-130   11.529 12.130 11.581               10.810 10.529 10.490
GCK J19213425+4017058 290.39270 40.28496 17.433 0.009 -999.990 -999.990 117.69  5094751 Kepler-109   12.365 12.735 12.300 12.206 12.175 11.314 11.045 11.000
GCK J19255249+4020373 291.46872 40.34369 22.467 0.188 -999.990 -999.990   5.79  5185897 Kepler-398   13.256 14.255 13.189 12.828 12.631 11.513 10.932 10.794
GCK J19434407+4018013 295.93361 40.30036 15.707 0.004   15.707    0.220 250.48  5202905 Kepler-340   12.345 12.404 12.325 12.366 12.398 11.724 11.628 11.583
GCK J19234668+4028483 290.94450 40.48008 19.225 0.022 -999.990 -999.990  48.71  5272233 Kepler-400   13.642 14.078 13.586 13.454 13.400 12.566 12.288 12.295
GCK J19430840+4026223 295.78499 40.43952 21.991 0.199 -999.990 -999.990   5.44  5289854 Kepler-308   15.809 16.377 15.767 15.566 15.447 14.614 14.153 14.186
GCK J19511082+4025032 297.79507 40.41757 21.288 0.158 -999.990 -999.990   6.89  5299459 Kepler-307   14.072 14.646 13.997 13.826 13.714 12.833 12.451 12.320
GCK J19530052+4029468 298.25216 40.49633 20.664 0.103 -999.990 -999.990  10.59  5301750 Kepler- 84   14.764 15.272 14.718 14.547 14.440 13.583 13.233 13.192
GCK J19125618+4031158 288.23407 40.52106 21.472 0.104 -999.990 -999.990  10.46  5351250 Kepler-150   14.985 15.497 14.934 14.766 14.670 13.817 13.422 13.367
GCK J19212596+4034044 290.35818 40.56788 22.810 0.360 -999.990 -999.990   3.02  5357901 Kepler-425   14.741 15.416 14.650 14.452 14.339 13.375 12.930 12.805
GCK J19215079+4033456 290.46162 40.56266 21.444 0.105 -999.990 -999.990  10.31  5358241 Kepler- 53   15.386 15.867 15.354 15.179 15.139 14.252 13.906 13.807
GCK J19481674+4031308 297.06976 40.52522 16.163 0.006 -999.990 -999.990 186.51  5383248 Kepler- 96   10.297 10.736 10.228 10.109 10.064  9.259  8.928  8.868
GCK J19490120+4032541 297.25499 40.54837 17.060 0.009 -999.990 -999.990 118.07  5384079 Kepler-348   12.556 12.875 12.500 12.419 12.447 11.708 11.454 11.377
GCK J19113536+4038162 287.89733 40.63783 21.478 0.104 -999.990 -999.990  10.40  5436502 Kepler-238   15.084 15.600 15.003 14.862 14.768 13.894 13.544 13.512
GCK J19243554+4040098 291.14810 40.66938 19.878 0.035 -999.990 -999.990  30.79  5446285 Kepler- 88   13.113 13.623 13.038 12.895 12.832 11.881 11.516 11.454
GCK J19580041+4040148 299.50170 40.67077 21.100 0.113 -999.990 -999.990   9.61  5480640 Kepler-399   14.467 15.022 14.435 14.230 14.103 13.175 12.778 12.698
GCK J18515496+4047042 282.97902 40.78451 17.300 0.006 -999.990 -999.990 172.08  5511081 Kepler-338   12.119 12.497 12.073 11.957 11.940 11.098 10.840 10.756
GCK J19035996+4055101 285.99982 40.91947 22.092 0.162 -999.990 -999.990   6.72  5689351 Kepler-169   14.194 14.929 14.123 13.878 13.760 12.728 12.282 12.185
GCK J19140741+4056326 288.53086 40.94240 17.396 0.011 -999.990 -999.990 101.99  5695396 Kepler-131   11.525 11.969 11.466 11.334 11.309 10.417 10.127 10.079
